,Preferred Bank Name,Bank Tag,Subsidiary Of Tag,Rating,Rating Reason,Country,Website,Added By,Notes,Date Added
0,Abbey National,abbey_national_santander,santander,,,United Kingdom,,,,
1,,abn_amro,,Bad,,,,,,
2,Alaska USA Federal Credit Union,alaska_usa_federal_credit_union,,Great,,United States,https://www.alaskausa.org/,Tj,,
3,Alberta Treasury Branch,alberta_treasury_branch,,,,Canada,https://www.atb.com/personal/,Tj,,
4,Alliance & Leicester,alliance__leicester_santander,santander,,,United Kingdom,,,,
5,Alliant Bank,alliant_bank,,,,United States,https://www.alliantbank.com/,Tj,,
6,Alliant Credit Union,alliant_credit_union,,,,United States,https://www.alliantcreditunion.org/,Tj,,
7,Allied Irish Bank,allied_irish_bank,,Bad,,Ireland,,Zak,Only based on this article - https://www.irishtimes.com/life-and-style/time-to-put-pressure-on-our-banks-to-stop-investing-in-fossil-fuels-1.4228709,
8,Allica Bank,alllica_bank,,Great,,United Kingdom,https://www.allica.bank/,Tj,,
9,Ally,ally,,,,United States,https://www.ally.com/,Tj,,
10,Alterna,alterna,,Great,,Canada,alterna.ca,Albert,"Alterna has stated that “Alterna does not, and has not, provided any commercial loans to any borrowers for fossil fuel expansion and we do not invest directly in industries such as pipelines, fracking, oil and gas, etc.”
Alterna also offers its members “Responsible Investment” options through NEI, including options which are 100% fossil fuel free.
https://www.toronto350.org/choosing_a_climate_friendly_credit_union_in_toronto",April 23 20201
11,,amalgamated_bank,,Great,,,,,,
12,America First Credit Union,america_first_credit_union,,,,United States,https://www.americafirst.com/,Tj,,
13,AMP,amp,,Bad,,Australia,,,,
14,ANZ,anz,,,,Australia,https://www.anz.com.au/personal/,Tj,,
15,Arbejdernes Landsbank,arbejdernes_landsbank,,Great,,Denmark,https://www.al-bank.dk/privat,Tj,,
16,,asn_bank,,Great,,,,,,
17,Aspiration,aspiration_bank,,Great,,United States,,,,
18,Austrian Volkskreditbank VKB,austrian_volkskreditbank_vkb,,,,Austria,https://www.vkb-bank.at/,Tj,,
19,AXA,axa,,,,France,https://www.axa.com/,Tj,,
20,AXA Banque,axa_banque,,,,France,https://www.axa.fr/compte-bancaire.html,Tj,,
21,,banca_etica,,Great,,,,,,
