company_name,"No Retail Banking? 1 = No, 0 = Yes, Blank = Unknown",b-impact,GABV,country,website,twitter,description,Mission,History,Structure,Market Focus,overall_score,impact_area_environment,state,city,sector_2,size,industry,industry_category,products_and_services,sector
Greenline Community Ventures LLC,1,1,,United States,www.greenlineventures.com,--,"Greenline Community Ventures LLC is a minority-controlled and employee-owned investment management firm that specializes in delivering capital to business and communities that are underserved by traditional capital providers. Our mission is to 1) improve the flow of capital into underserved communities and 2) motivate market rate capital to invest in community priorities. We leverage our knowledge, experience and relationships to serve the capital needs of low income communities and to create sustainable outcomes. The members of Greenline possess significant knowledge, experience and skills in investment banking, commercial lending, community development and asset management.",,,,,110.7,4,Colorado,Denver,Service with Minor Environmental Footprint,10-49,Equity Investor - Developed Markets,Financial Services,"Capital Market Solutions, Community Development",Service with Minor Environmental Footprint
Partnership Capital Growth,1,1,,United States,www.pcg-advisors.com,--,"Partnership Capital Growth Advisor facilitates capital relationships in the healthy, active, and sustainable living marketplace that create accelerated and sustainable growth to benefit both the entrepreneurs and the investors with whom they work. They works with companies they believe can improve lives and make the world a better place and that they're confident in as strong, long-term investment opportunities. PCGA is committed to advising and preparing entrepreneurial companies within the healthy, active and sustainable living marketplace for successful capital relationships, facilitating opportunities that provide immediate value for their clients while supporting their long-term strategic goals.
 
PCGA professionalsÕ expertise, track record and reputation within the healthy, active and sustainable living industry consistently help us to attract and develop the highest quality partnerships for our clients. They are supported by a full quiver of relationships with senior and mezzanine lenders, commercial banks, minority and majority equity investors, lawyers, accountants, consultants, recruiters, and industry experts.",,,,,116.5,3.7,California,Los Gatos,Service with Minor Environmental Footprint,1-9,Equity Investor - Developed Markets,Financial Services,Financial Services and Investment,Service with Minor Environmental Footprint
Aspiration Bank,1,,1,United States,https://www.aspiration.com,https://twitter.com/Aspiration,,,,,,,,,,,,,,,
Business Development Bank of Canada,1,1,,Canada,www.bdc.ca,https://twitter.com/bdc_ca,"BDC is the only bank devoted exclusively to entrepreneurs. It promotes Canadian entrepreneurship with a focus on small and medium-sized businesses. With its 110+ business centres from coast to coast, BDC provides entrepreneurs in all industries with financing and advisory services. Its investment arm, BDC Capital, offers equity, venture capital as well as customized growth and business transition capital.

Note: This company or an affiliated individual or entity has made a philanthropic contribution to B Lab within the parameters of its conflict of interest policy. For more information visit the funders and finances section of this website.",,,,,96.5,1.8,Québec,Montreal (head office),Service with Minor Environmental Footprint,1000+,Other,Financial Services,"Loans, investments and advisory services for SMEs",Service with Minor Environmental Footprint
Envest Microfinance,1,1,,United States,envestmicrofinance.org,https://twitter.com/EnvestMicrofin,"Envest is a for-profit global microfinance fund that offers a unique impact investment opportunity for accredited investors. Since its founding in 2012, Envest has delivered strong financial returns to investors while expanding access to credit in communities underserved by banks. Envest lends to microfinance institutions in the developing world. They, in turn, provide microloans to individual borrowers seeking credit. They believe that using financially sound market mechanisms to create a more equitable economy is critical to reducing widespread global poverty.",,,,,96.5,5.6,Wisconsin,Madison,Service with Minor Environmental Footprint,1-9,Other,Financial Services,"Microfinance lending, socially responsible investing",Service with Minor Environmental Footprint
Globalance Bank,1,1,,Switzerland,www.globalance-bank.com,https://twitter.com/Globalance_Bank,"Globalance is an owner-led Swiss private bank and stands for a paradigm shift in finance and investing. It primarily manages the wealth and capital of private clients, families and foundations according to principles of long-term investment. Impact orientation is integral to its multi-asset class investment approach.
 
 As the first bank in the world to do so, Globalance Bank has developed an instrument for that purpose, one that creates transparency: the Globalance Footprint. This visionary investment compass gives investors insight, foresight and a sense of security. It allows clients to understand the economic, societal and environmental impacts of all their assets. An interactive online-platform allows clients real-time access to relevant impact data and commentary covering their entire individual portfolios.
 
 In the interests of its clients Globalance is completely independent, does not promote its own investment products and maintains full transparency on its fees.",,,,,109.3,7.1,Zurich,Zurich,Service with Minor Environmental Footprint,10-49,Investment Advisor,Financial Services,Wealth management; private bank,Service with Minor Environmental Footprint
"Keene Advisors, Inc.",1,1,,United States,www.keeneadvisors.com,https://twitter.com/keene_advisors,"Keene Advisors is a boutique investment bank and consulting firm that advises clients on their most important strategic and financial challenges. Since 2015, Keene Advisors has provided on-demand investment banking and consulting services to clients ranging from start-ups to Fortune 50 companies, private equity firms and family offices across North America, Europe and the Middle East.  The Company seeks to promote positive, lasting change in the world through charitable donations and active participation in charitable and civic organizations.

Keene Advisors combines the experience of a large global financial services firm, the focus and independence of a boutique, and the passion and commitment of a Certified B Corporation™ 

Securities related services are offered through Burch & Company, member FINRA / SIPC. Keene Advisors and Burch & Company are not affiliated entities.",,,,,95.4,5.6,Massachusetts,Boston,Service with Minor Environmental Footprint,1-9,Other,Financial Services,"Business, consulting and financial services",Service with Minor Environmental Footprint
Lombard Odier,1,1,,Switzerland,www.lombardodier.com/home.html,https://twitter.com/lombardodier/status/1343838742595956736,"Founded in 1796, Lombard Odier, has served their clients for seven generations and grown stronger through 40 financial crises. They have been rethinking the world around them for over 220 years and sustainability is at the heart of everything they do. Today, they look after over CHF 259bn of client total assets and their purpose is to help entrepreneurs, families and private individuals preserve, grow and transmit their assets, responsibly, over time. As a privately owned bank, they're free from market pressures and external public shareholders looking for ever-improving quarterly results. Instead, they can focus on serving their clients for the long term. Their ambition is to secure a sustainable future for generations to come. At Lombard Odier they believe sustainability is the largest investment opportunity in history, and B Corp recognition is another milestone in their journey to act as both a profitable and a purposeful business. As a leading financial institution, they are determined to make a positive contribution to society.",,,,,98.8,10.1,Genève,Geneva,Service with Minor Environmental Footprint,1000+,Other,Financial Services,Wealth management and asset management,Service with Minor Environmental Footprint
Maanch,1,1,,United Kingdom,maanch.com/,https://twitter.com/maanch_platform,"Maanch is an award winning global impact platform, transforming the way millions of people engage with philanthropy and impact investing worldwide. 

Maanch aims to influence the flow of funds towards global sustainable development, by providing technology, data and insights on social, environmental, and economic impact.

Maanch provides tailor made digital solutions for individuals & families, private banks , wealth advisory firms, grant making trusts and foundations, CSR teams, UK registered charities and international nonprofit organisations .",,,,,92.1,9.1,London,London,Service with Minor Environmental Footprint,1-9,Other,Financial Services,"Impact marketplace, Enterprise Saas and Bespoke technology",Service with Minor Environmental Footprint
"MicroVest Capital Management, LLC",1,1,,United States,www.microvestfund.com,https://twitter.com/microvestfund,"MicroVest is an asset manager that specializes in allocating private debt capital to Responsible Financial Institutions or “RFIs” in emerging and frontier markets. As one of the first U.S.-based microfinance investors, MicroVest has built a track record since 2003 of investing in microfinance institutions (MFIs) and small and medium enterprise (SME) financial institutions whose interests are aligned with the borrowers and communities they serve. 

By catalyzing the availability of credit to Responsible Financial Institutions — many of which serve as the first provider of formal credit to micro entrepreneurs and small businesses — MicroVest is helping the right institutions scale, which deepens financial sector development, fuels local economic growth, facilitates financial inclusion, promotes gender equality, and reduces poverty. This in turn, allows underbanked communities to access quality financial services, thereby improving their financial health and well-being.

Since its founding, MicroVest has disbursed more than $1 billion to over 200 RFIs in more than 60 emerging and frontier countries.",,,,,103.2,4.7,Maryland,Bethesda,Service with Minor Environmental Footprint,10-49,Equity Investor - Emerging Markets,Financial Services,Provides investment advisory services to private impact investment funds.,Service with Minor Environmental Footprint
