company_name,rating
Abbey National (Santander),worst
Alliance & Leicester (Santander),worst
Banco Sabadell,bad
Barclays,worst
Carter Allen (Santander),worst
Clydesdale Bank (Virgin Money),ok
Co-operative Bank,great
Coutts (RBS),worst
Cumberland Bank,ok
First Direct (HSBC),worst
First National (Santander),worst
HBOS / Bank of Scotland (Lloyds),bad
HSBC,worst
Halifax (Lloyds),bad
Intelligent Finance (Lloyds Banking),bad
John Lewis Partnership Card (HSBC),worst
Lloyds,bad
M&S Bank (HSBC),worst
Metro Bank,bad
Monzo,great
Nationwide,great
Natwest / RBS,worst
RBS / Natwest,worst
Revolut,bad
Santander,worst
Standard Chartered,worst
Starling Bank,ok
TSB (Banco Sabadell),bad
Triodos,great
Ulster Bank (RBS),worst
Virgin Money,ok
Yorkshire Bank (Virgin Money),ok
