,bank.type,bank.value,bankLabel.xml:lang,bankLabel.type,bankLabel.value,countryLabel.xml:lang,countryLabel.type,countryLabel.value,instanceLabel.xml:lang,instanceLabel.type,instanceLabel.value,viafid.type,viafid.value,deathyear.datatype,deathyear.type,deathyear.value,website.type,website.value,bankDescription.xml:lang,bankDescription.type,bankDescription.value,bankAltLabel.xml:lang,bankAltLabel.type,bankAltLabel.value,twitter.type,twitter.value,isin.type,isin.value,gid.type,gid.value,permid.type,permid.value,parent.type,parent.value,lei.type,lei.value
0,uri,http://www.wikidata.org/entity/Q1660286,en,literal,Imperial Bank of Persia,en,literal,Iran,en,literal,bank,literal,142598400,http://www.w3.org/2001/XMLSchema#integer,literal,1959,,,,,,,,,,,,,,,,,,,,
1,uri,http://www.wikidata.org/entity/Q1660286,en,literal,Imperial Bank of Persia,en,literal,Iran,en,literal,business,literal,142598400,http://www.w3.org/2001/XMLSchema#integer,literal,1959,,,,,,,,,,,,,,,,,,,,
2,uri,http://www.wikidata.org/entity/Q3764985,en,literal,State Bank of Hyderabad,en,literal,India,en,literal,bank,literal,146858583,http://www.w3.org/2001/XMLSchema#integer,literal,2017,,,,,,,,,,,,,,,,,,,,
3,uri,http://www.wikidata.org/entity/Q3764985,en,literal,State Bank of Hyderabad,en,literal,India,en,literal,business,literal,146858583,http://www.w3.org/2001/XMLSchema#integer,literal,2017,,,,,,,,,,,,,,,,,,,,
4,uri,http://www.wikidata.org/entity/Q806659,en,literal,Bank of Industry and Mine,en,literal,Iran,en,literal,bank,,,,,,uri,https://www.bim.ir,en,literal,Iranian banking and financial services corporation,en,literal,"BIM Bank, BIM Bank Of Iran, Industry And Mine Bank Of Iran",,,,,,,,,,,,
5,uri,http://www.wikidata.org/entity/Q806659,en,literal,Bank of Industry and Mine,en,literal,Iran,en,literal,public company,,,,,,uri,https://www.bim.ir,en,literal,Iranian banking and financial services corporation,en,literal,"BIM Bank, BIM Bank Of Iran, Industry And Mine Bank Of Iran",,,,,,,,,,,,
6,uri,http://www.wikidata.org/entity/Q806659,en,literal,Bank of Industry and Mine,en,literal,Iran,en,literal,business,,,,,,uri,https://www.bim.ir,en,literal,Iranian banking and financial services corporation,en,literal,"BIM Bank, BIM Bank Of Iran, Industry And Mine Bank Of Iran",,,,,,,,,,,,
7,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,bank,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
8,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,financial institution,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
9,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,credit institution,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
10,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,public company,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
11,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,business,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
12,uri,http://www.wikidata.org/entity/Q1340361,en,literal,State Bank of India,en,literal,India,en,literal,enterprise,literal,138999607,,,,uri,http://www.sbi.co.in,en,literal,Indian public sector bank and financial services organization,en,literal,SBI,literal,TheOfficialSBI,literal,US8565522039,literal,/g/1212gsdd,,,,,,
13,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,bank,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
14,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,financial institution,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
15,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,credit institution,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
16,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,public company,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
17,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,business,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
18,uri,http://www.wikidata.org/entity/Q1653258,en,literal,ICICI Bank,en,literal,India,en,literal,enterprise,literal,151888568,,,,uri,https://www.icicibank.com/,en,literal,Indian Multinational Bank,en,literal,"ICICI, ICICI Bank Limited",literal,icicibank,literal,INE090A01021,,,literal,4295873612,,,,
19,uri,http://www.wikidata.org/entity/Q2003387,en,literal,Corporation Bank,en,literal,India,en,literal,bank,,,,,,uri,http://www.corpbank.com/,en,literal,Indian public-sector banking company,,,,,,,,,,,,,,,
20,uri,http://www.wikidata.org/entity/Q2003387,en,literal,Corporation Bank,en,literal,India,en,literal,financial institution,,,,,,uri,http://www.corpbank.com/,en,literal,Indian public-sector banking company,,,,,,,,,,,,,,,
21,uri,http://www.wikidata.org/entity/Q2003387,en,literal,Corporation Bank,en,literal,India,en,literal,business,,,,,,uri,http://www.corpbank.com/,en,literal,Indian public-sector banking company,,,,,,,,,,,,,,,
